LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL,ASP.NET;jQuery;Node.js,MSBuild;npm;NuGet;Pip;Visual Studio Solution,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Clojure;Java;SQL,Spring Boot,Docker;Kubernetes;Maven (build tool),Apache Kafka,Back-End Developer,5
C#;Go;Python,ASP.NET CORE,Ansible;Docker;Kubernetes;NuGet,.NET (5+) ,Research & Development Role,6
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,,Cargo;CMake;Godot;Gradle;Homebrew;LLVM's Clang;Make;Pacman;Pip;Unity 3D,.NET (5+) ;NumPy;Xamarin,Game Or Graphics Developer,3
Assembly;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Drupal;Express;Fastify;jQuery;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js;WordPress,Bun;Chocolatey;Docker;Make;MSBuild;Nix;npm;Pacman;QMake;Vite;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Cordova;Electron;Ionic;OpenGL;Qt;React Native;Tauri,Full-Stack Developer,0
C;Java;JavaScript;Lisp,Node.js,Ansible;Ant;Dagger;Docker;GNU GCC;Kubernetes;npm,,"Senior Executive (C-Suite, Vp, Etc.)",6
Java,,,,Back-End Developer,3
C#;F#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js;Svelte;Vue.js,MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C#;JavaScript;SQL;TypeScript,ASP.NET CORE,Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);Python,,bandit;Pip,Apache Spark;Pandas,Data Engineer,6
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Angular,Maven (build tool);npm,,Full-Stack Developer,5
C#;Dart;HTML/CSS;JavaScript;PHP;R;SQL;TypeScript,Angular;Drupal;jQuery;Node.js;React;Symfony,Docker;npm;Yarn,React Native,Full-Stack Developer,3
C;C++,,Make;MSVC,,Scientist,6
Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Julia;MATLAB;PHP;Python;R;Scala;SQL;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;FastAPI;Spring Boot;Symfony,Pip,.NET (5+) ;Apache Kafka;Apache Spark;Hadoop;Keras;Scikit-Learn;Spring Framework;TensorFlow;Tidyverse;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;JavaScript;SQL;TypeScript,Node.js;React,Docker;Homebrew;Kubernetes;npm,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;HTML/CSS;Java;JavaScript;Prolog;Python;Ruby;SQL;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery;Node.js;React;Ruby on Rails;Spring Boot,Gradle;Homebrew;Maven (build tool);npm;NuGet;Unity 3D;Visual Studio Solution;Vite;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native;Spring Framework;Xamarin,Full-Stack Developer,0
C++;Dart;Java;PHP,,MSVC,.NET (5+) ;Apache Kafka;SwiftUI,Mobile Developer,4
C#;C++;Dart;Java;JavaScript;Lua;PHP;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor;Express;Spring Boot,APT;Boost.Test;Chocolatey;CMake;Composer;Docker;Maven (build tool);MSBuild;MSVC;npm;NuGet;pnpm;Visual Studio Solution;Webpack,.NET (5+) ;JAX;Spring Framework,Back-End Developer,5
HTML/CSS;JavaScript;PHP;SQL,jQuery;Laravel;Node.js;Vue.js;WordPress,,,Back-End Developer,3
C++;HTML/CSS;JavaScript;SQL,ASP.NET;ASP.NET CORE;Blazor,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Xamarin,Full-Stack Developer,0
Python,Flask,Docker,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript;VBA;Visual Basic (.Net),Express;Fastify;Laravel;NestJS;Next.js;Node.js;React,Cargo;Chocolatey;Docker;Godot;npm;Pip;pnpm;Vite;Webpack;Yarn,Flutter,Full-Stack Developer,3
Bash/Shell (all shells);C#;GDScript;Go;JavaScript;Kotlin;PHP;Python;TypeScript,Deno;NestJS;Node.js;Nuxt.js;React;Symfony;Vue.js,Composer;Docker;Godot;Gradle;npm;Vite;Webpack,Ktor,Full-Stack Developer,3
Haskell;HTML/CSS;JavaScript;MATLAB;OCaml;Python;R;TypeScript,Flask,Homebrew;Pip,NumPy;Pandas;Tidyverse,Data Scientist Or Machine Learning Specialist,6
Assembly;Bash/Shell (all shells);C;Lisp;Python,,Ansible;GNU GCC;Kubernetes;Make,Pandas,Marketing Or Sales Professional,3
Go;Rust;TypeScript,Next.js;React,Docker;Kubernetes;Terraform,Flutter,Full-Stack Developer,3
Delphi;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,Laravel;Symfony;Vue.js,Composer;npm;pnpm;Vite;Webpack,Capacitor;Cordova;Electron,Full-Stack Developer,3
Bash/Shell (all shells);GDScript;HTML/CSS;Python,Django;FastAPI,Ansible;Godot;Kubernetes;Pip,NumPy;Pandas,Devops Specialist,6
C;C#;C++;Java,,CMake;Docker;Google Test;Maven (build tool);MSVC;NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,1
C++;Objective-C;Swift,,,SwiftUI,Mobile Developer,4
C++;HTML/CSS;JavaScript;TypeScript,Express;Fastify;jQuery;Next.js;Node.js;React,Docker;npm;pnpm;Vite;Webpack;Yarn,,Full-Stack Developer,3
C#;C++;Go;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Express;Node.js;Symfony,Docker;GNU GCC;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C#;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Angular;ASP.NET CORE;Django;FastAPI;jQuery;Node.js;Vue.js,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Terraform;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Ionic;NumPy;Opencv;Pandas;Torch/PyTorch,Full-Stack Developer,0
C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript;Visual Basic (.Net),,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Express;Fastify;NestJS;Node.js;Vue.js,Docker;Homebrew;npm;Yarn,Flutter;Hugging Face Transformers;Qt;React Native;Torch/PyTorch,Full-Stack Developer,3
JavaScript;Kotlin;Objective-C;Python;SQL;Swift,Laravel,GNU GCC;Homebrew;LLVM's Clang,SwiftUI,"Senior Executive (C-Suite, Vp, Etc.)",6
C#;SQL,ASP.NET;ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,Back-End Developer,0
HTML/CSS;Java;JavaScript;PHP;SQL,CodeIgniter;Laravel;Vue.js,Composer;Docker;npm,,Back-End Developer,3
HTML/CSS;Java;JavaScript;Perl;Python;SQL;TypeScript,Flask;Node.js;React,APT;Docker;Kubernetes;npm;Pip,Apache Kafka,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;Cobol;Java;JavaScript;Python;SQL;TypeScript,Node.js,Ant;Make;Maven (build tool);npm;Pip,Apache Kafka,Full-Stack Developer,3
Go;Rust,,Ansible;APT;Cargo;Make;Pacman;Terraform,Apache Kafka,Cloud Infrastructure Engineer,6
Bash/Shell (all shells);Java;Scala,,Nix,,Back-End Developer,3
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Angular;Node.js,Ant;Docker;Gradle;Kubernetes;Maven (build tool);npm,,Full-Stack Developer,3
Bash/Shell (all shells);Go;Groovy;HTML/CSS;PHP;Python;Rust;SQL,,Ansible;Cargo;Docker;Kubernetes;Make;Pip;Podman;Pulumi;Terraform,,Cloud Infrastructure Engineer,6
C#;SQL,ASP.NET CORE;Blazor,Unity 3D;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Full-Stack Developer,0
C#;HTML/CSS;Java;JavaScript;PowerShell;SQL,ASP.NET;ASP.NET CORE;React,MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;HTML/CSS;Java;JavaScript;SQL,Angular;ASP.NET CORE;Express;jQuery;React;Vue.js,Docker;npm;Podman;Yarn,.NET Framework (1.0 - 4.8);Electron;Ionic;React Native;Spring Framework;TensorFlow,Front-End Developer,2
Bash/Shell (all shells);Go;HTML/CSS;Python,,Docker;doctest;Pip;Terraform,NumPy;Opencv,Research & Development Role,6
Dart;HTML/CSS;JavaScript;PHP;TypeScript,Angular;AngularJS;jQuery;Laravel;Node.js;WordPress,Composer;Docker;Homebrew;npm;Webpack,Flutter,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;PowerShell;SQL,Laravel;Node.js;Vue.js,Composer;npm;Vite;Webpack,,Full-Stack Developer,3
Bash/Shell (all shells);C;Objective-C;Swift,,Docker;Make,,Desktop Or Enterprise Applications Developer,1
Groovy;HTML/CSS;JavaScript;Python,Django;React;Vue.js,Cargo;Homebrew;Maven (build tool);npm;Pip;Yarn,NumPy;RabbitMQ,Full-Stack Developer,3
C++,,Catch2;CMake;GNU GCC;LLVM's Clang;MSBuild;MSVC;QMake,Qt,Full-Stack Developer,3
C#;PowerShell;Python;SQL;Visual Basic (.Net),ASP.NET CORE;Blazor,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Full-Stack Developer,0
Rust,,Cargo,,Full-Stack Developer,3
Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Julia;MATLAB;Python;TypeScript,ASP.NET;ASP.NET CORE;Django;FastAPI;Next.js;React,Ant;CMake;Docker;GNU GCC;npm;NuGet;Pacman;Pip;Yarn,.NET (5+) ;NumPy;Opencv;OpenGL;TensorFlow;Uno Platform,Full-Stack Developer,3
,CodeIgniter;Flask,Chocolatey,Xamarin,Front-End Developer,2
C;C#;C++,,Visual Studio Solution,.NET (5+) ;Apache Spark,Project Manager,6
HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Next.js;React;Ruby on Rails,Docker;Webpack;Yarn,,Full-Stack Developer,3
C;C#;C++;Ruby;Rust,,Cargo;LLVM's Clang;Make;MSBuild;MSVC;NuGet;Terraform;Visual Studio Solution,.NET Framework (1.0 - 4.8),Embedded Applications Or Devices Developer,1
C++,,Boost.Test;LLVM's Clang;MSBuild;MSVC;Visual Studio Solution,,Scientist,6
HTML/CSS;JavaScript;TypeScript,jQuery,Unity 3D,.NET Framework (1.0 - 4.8),Front-End Developer,2
JavaScript;TypeScript,Express;Node.js;React,Ansible;Docker;npm;Terraform;Yarn,React Native,Full-Stack Developer,3
JavaScript,Node.js;WordPress,npm,,Back-End Developer,3
C#;Python;SQL,ASP.NET CORE;Flask,Docker;NuGet;Pip,.NET (5+) ;RabbitMQ,Back-End Developer,3
Assembly;C;C#;C++;HTML/CSS;Java;OCaml;Python;SQL,Spring Boot,Gradle;Make;npm;NuGet;Visual Studio Solution,.NET (5+) ;NumPy;Pandas;Scikit-Learn;Spring Framework,Back-End Developer,5
C#;HTML/CSS;JavaScript;PowerShell;Python,Flask;Svelte,APT;npm;Pip,.NET (5+) ;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,"Senior Executive (C-Suite, Vp, Etc.)",6
C#;Java;Python;SQL,,Chef;Docker;Kubernetes;Maven (build tool);Terraform,.NET (5+) ;Apache Kafka;NumPy;Pandas;RabbitMQ;Scikit-Learn,Engineering Manager,6
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Angular;jQuery;Laravel,Composer;Homebrew;npm,Cordova;Ionic,Full-Stack Developer,3
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Ruby;SQL,ASP.NET CORE;jQuery;Node.js;Ruby on Rails,Docker;npm;NuGet,.NET (5+) ,Engineering Manager,6
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,Express;Fastify;Next.js;Node.js;React,Docker;npm;pnpm;Terraform;Yarn,Electron,Engineering Manager,6
Java;Kotlin;PHP;Python,,Gradle,Ktor,Mobile Developer,4
Bash/Shell (all shells);Python;SQL,Flask,Ansible;Docker;Make;Podman;Puppet,,Cloud Infrastructure Engineer,6
C;C++;Java;JavaScript;Objective-C;Swift;TypeScript,Next.js;Node.js;React,LLVM's Clang,React Native;SwiftUI;Xamarin,Mobile Developer,4
HTML/CSS;Java;JavaScript;TypeScript,Spring Boot,Maven (build tool),,Back-End Developer,5
HTML/CSS;JavaScript;PHP;SQL,jQuery;Laravel;Vue.js,Composer;npm,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,ASP.NET CORE;Next.js;React,npm,.NET (5+) ,Full-Stack Developer,3
HTML/CSS;JavaScript;Nim;Python,Django;FastAPI;Flask;Vue.js,Docker;doctest;Godot;Make;npm;Pip;SCons,CUDA;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Qt;Torch/PyTorch,Full-Stack Developer,3
HTML/CSS;JavaScript;Python,Node.js;React,Homebrew;npm;Webpack,,Front-End Developer,2
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,FastAPI;Flask,Homebrew;Pip;Terraform,Hugging Face Transformers;Torch/PyTorch,Back-End Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript;Visual Basic (.Net),Angular;Express;jQuery;NestJS;Node.js;React;Spring Boot,Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Terraform;Webpack;Yarn,Apache Kafka;Hadoop;NumPy;Pandas;RabbitMQ;React Native;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch,Back-End Developer,3
HTML/CSS;Python;TypeScript,Next.js;Node.js;React,npm;Terraform;Vite;Webpack,,Developer Experience,3
C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;jQuery;NestJS;Next.js;Node.js;React,APT;Chocolatey;Composer;Docker;Homebrew;Kubernetes;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Cordova;React Native,Full-Stack Developer,0
Bash/Shell (all shells);C;C++;Clojure;Dart;Java;JavaScript;Lisp;Python;Ruby;SQL;TypeScript,Express;Fastify;Gatsby;jQuery;Node.js;React;Ruby on Rails,Docker;GNU GCC;Homebrew;Kubernetes;Make;npm;Pip;Webpack;Yarn,Electron;Flutter;RabbitMQ,Full-Stack Developer,3
C#;C++;HTML/CSS;JavaScript;Rust;SQL,AngularJS;ASP.NET;ASP.NET CORE;Blazor;React;WordPress,Boost.Test;Cargo;CMake;MSBuild;MSVC;npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Engineering Manager,0
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;SQL,,Ant;Make,CUDA,Full-Stack Developer,3
Bash/Shell (all shells);MATLAB;Python;R,Django;React,Docker;LLVM's Clang;Make;Pip,Keras;NumPy;Scikit-Learn;Tidyverse;Torch/PyTorch,Research & Development Role,6
Scala,,,,Game Or Graphics Developer,3
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;TypeScript,Angular;Node.js;Vue.js;WordPress,Ant;Docker;Make;npm;Pacman;Vite;Webpack;Yarn,Electron,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Lit,Cargo;Docker;npm;Wasmer,.NET (5+) ,Full-Stack Developer,3
Bash/Shell (all shells);Go;Groovy;Java;Lua;SQL,Spring Boot,Ansible;APT;Docker;Kubernetes;Maven (build tool);Pip;Podman;Terraform,Apache Kafka;JAX;Quarkus,Devops Specialist,5
Java;Python,Django,Maven (build tool),,Desktop Or Enterprise Applications Developer,1
,Express;jQuery;Laravel;NestJS;Next.js;Node.js;Vue.js;WordPress,,,Qa Or Test Developer,3
HTML/CSS;Java;JavaScript;TypeScript,Next.js;React;Spring Boot,Docker;Kubernetes;Maven (build tool);npm;Yarn,Spring Framework,Full-Stack Developer,5
Python;SQL,,Docker;Homebrew;Pip,Pandas,Data Engineer,6
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET;jQuery;Node.js,npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Java;JavaScript;Kotlin;SQL,Angular;React;Spring Boot,Docker;Homebrew;Maven (build tool),RabbitMQ,Back-End Developer,5
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Flask;jQuery;Next.js;Node.js;React,Docker;Unreal Engine,Electron;Pandas,System Administrator,3
C#;Java;PowerShell;SQL,,MSBuild;npm;NuGet;Unity 3D,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,1
C;Go;OCaml;Scala,,GNU GCC;Meson;Ninja;Podman,GTK;OpenGL,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;Objective-C;TypeScript,Angular;Blazor;React,MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Front-End Developer,0
HTML/CSS;JavaScript;SQL;TypeScript,Express;NestJS;Node.js;React,Docker;npm;Webpack,React Native,Full-Stack Developer,3
HTML/CSS;Java;JavaScript,Angular;Express;Node.js,Docker;Kubernetes;Maven (build tool);npm,Apache Kafka;Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;VBA,,Docker;Kubernetes;Make;MSBuild;NuGet,.NET Framework (1.0 - 4.8),Back-End Developer,0
Go,Angular;React,Vite;Yarn,NumPy;Pandas,Full-Stack Developer,3
Go;Java;JavaScript;Rust;TypeScript,Angular;Next.js;Node.js;React,Cargo;Docker;Homebrew;Make;Terraform,,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Django;React,Cargo;Docker;Gradle;npm;Pip,Ktor;NumPy;Tauri,Back-End Developer,3
Bash/Shell (all shells);Java;JavaScript;Kotlin;TypeScript,Next.js;Node.js;React,lest;npm;Vite;Yarn,React Native,Developer Advocate,3
HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Express;Next.js;Node.js;React,Chocolatey;npm,,Full-Stack Developer,3
C#;C++;Java,,,,Full-Stack Developer,3
JavaScript;PHP;Python;TypeScript,Django;FastAPI;jQuery;Laravel;Next.js;React;WordPress,Composer;Docker;npm;Pip;Yarn,,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;Python,Django;Express;Flask;jQuery;Next.js;Node.js;React,npm;Pip,React Native,Full-Stack Developer,3
C#;HTML/CSS;Java;JavaScript;Kotlin;Swift;TypeScript,Angular;Node.js,Gradle;Homebrew;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET Framework (1.0 - 4.8);Cordova;Electron;Ionic;SwiftUI,Front-End Developer,2
Bash/Shell (all shells);C;C++;Go;SQL,Django;Express;Node.js;Spring Boot,Ant;CMake;Composer;Docker;Kubernetes;npm,Flutter,Devops Specialist,6
Go;Kotlin;SQL,,Docker;Gradle;Make,,Back-End Developer,3
Bash/Shell (all shells);Go;HTML/CSS;JavaScript,jQuery,Docker;Kubernetes;Make,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,ASP.NET CORE;jQuery;React,npm;NuGet;Vite;Webpack,.NET (5+) ;Opencv,Full-Stack Developer,3
C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;WordPress,Ant;Chocolatey;Docker;npm;NuGet;Podman;Terraform;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Electron;Flutter;Ionic;RabbitMQ;React Native;Xamarin,Full-Stack Developer,0
Python,FastAPI,Docker;Pip,JAX;Pandas,Research & Development Role,6
C#;HTML/CSS;JavaScript;SQL,ASP.NET;ASP.NET CORE;Blazor,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
Bash/Shell (all shells);C;C#;C++;JavaScript;PowerShell;SQL,ASP.NET CORE;Blazor,MSBuild;MSVC;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;MFC;Xamarin,Back-End Developer,0
Java;SQL,Spring Boot,Docker;Gradle;Kubernetes;Maven (build tool),Hadoop;Quarkus;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);C;Go;JavaScript;Python;Ruby;Rust;SQL,Flask;React,Ansible;Cargo;Docker;Puppet;Terraform,,Cloud Infrastructure Engineer,6
HTML/CSS;JavaScript;Python;SQL;TypeScript,Next.js;Node.js;React,Homebrew;npm;Terraform;Webpack,Opencv;Torch/PyTorch,Full-Stack Developer,3
C#;C++,,Docker;Unity 3D;Visual Studio Solution,.NET (5+) ,Game Or Graphics Developer,0
C#;HTML/CSS;JavaScript;TypeScript,ASP.NET;ASP.NET CORE;jQuery;Node.js,Chocolatey;Docker;MSBuild;NuGet;Unity 3D;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
HTML/CSS;JavaScript,WordPress,,,Front-End Developer,2
Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL;TypeScript,Angular;AngularJS;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress,CMake;Docker;Homebrew;Kubernetes;Make;Maven (build tool);npm;Terraform,Electron;NumPy;Opencv;Spring Framework;SwiftUI,Full-Stack Developer,3
Apex;C;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Angular;jQuery;Node.js;Spring Boot;WordPress,Docker;Kubernetes;Maven (build tool);npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;Spring Framework,Back-End Developer,5
Ruby;SQL,Ruby on Rails,Homebrew;Kubernetes,,Back-End Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;PowerShell,ASP.NET;ASP.NET CORE,Ansible;Docker;MSBuild;npm;Visual Studio Solution;Vite;Yarn,.NET (5+) ;RabbitMQ,Devops Specialist,6
HTML/CSS;JavaScript;PHP;PowerShell;SQL,AngularJS;Laravel;React;Vue.js;WordPress,Composer;Docker;npm;Webpack,,Full-Stack Developer,3
JavaScript;Julia;Python;Rust;TypeScript,FastAPI;Vue.js,Ansible;Docker;Make;Pip;Podman;Vite;Webpack,JAX;NumPy;Pandas;Scikit-Learn,Data Scientist Or Machine Learning Specialist,6
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript,,Ant;Docker;Gradle;Maven (build tool);Webpack;Yarn,Spring Framework,Full-Stack Developer,5
HTML/CSS;JavaScript;TypeScript,Next.js;React,,,Front-End Developer,2
C#;HTML/CSS;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery,npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);Clojure;Groovy;Java;JavaScript;Kotlin;SQL,React;Spring Boot,Ansible;Docker;Gradle;Kubernetes;Maven (build tool);npm;Podman;Yarn,Apache Kafka;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);Go;Haskell;HTML/CSS;JavaScript;Python;Ruby;Scala;TypeScript,Node.js;Ruby on Rails;Vue.js,Homebrew;Webpack;Yarn,,Full-Stack Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;TypeScript,Blazor;Express;Node.js,Docker;Kubernetes;Make;NuGet;Terraform;Visual Studio Solution;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron,Desktop Or Enterprise Applications Developer,1
HTML/CSS;Java;JavaScript;TypeScript,,Docker;Gradle;Kubernetes;npm;pnpm,,Front-End Developer,2
C++;MATLAB,,MSVC;QMake;Visual Studio Solution,CUDA;Qt,Desktop Or Enterprise Applications Developer,1
C#;HTML/CSS;JavaScript;SQL,ASP.NET,MSBuild;Visual Studio Solution,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
JavaScript;TypeScript,Angular,npm,Capacitor;Ionic,Front-End Developer,2
C#;JavaScript;Python;SQL;TypeScript,Next.js;Node.js;React,Unity 3D,.NET (5+) ;.NET Framework (1.0 - 4.8),Developer Experience,0
Elixir;HTML/CSS;JavaScript;Python;TypeScript,Angular;Django;Express;Fastify;NestJS;Node.js,Docker;Homebrew;npm;Terraform,,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Angular;AngularJS;jQuery;NestJS;Spring Boot,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Webpack,Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);C++;Java,,Boost.Test;CMake;GNU GCC;LLVM's Clang;Make;Maven (build tool);Podman;Terraform,Apache Kafka;Spring Framework,Back-End Developer,3
Go;SQL;TypeScript,Express;NestJS;Node.js,Docker;npm;Terraform;Yarn,,Back-End Developer,3
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js,Docker;npm,.NET (5+) ,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;Python;Rust;SQL,FastAPI;Flask,Docker;Maven (build tool);NuGet;Pip,,Back-End Developer,3
Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Swift;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Flask;jQuery;Node.js;Spring Boot;WordPress,Docker;Maven (build tool);npm;NuGet;Webpack;Yarn,.NET Framework (1.0 - 4.8);JAX;NumPy;OpenGL;Pandas;Spring Framework;SwiftUI;TensorFlow,Full-Stack Developer,0
Bash/Shell (all shells);Java;Kotlin;Python,Spring Boot,Composer;Docker;Gradle;Kubernetes;Terraform;Yarn,Ktor;Micronaut;Quarkus,Back-End Developer,5
C;C++;HTML/CSS;Java;Kotlin;MATLAB;Objective-C;PHP;SQL;Swift,React,,Flutter;React Native,Mobile Developer,4
C#;HTML/CSS;JavaScript;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Node.js;React;Remix;Svelte;Vue.js,Docker;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native,Full-Stack Developer,0
